asset,split,shot_index,shot_id,file,n_traces,n_samples,valid_labels,label_ratio
Brunswick_orig_1500ms_V2_(1),train,1,1,C:\Users\HP\OneDrive\Desktop\seismic_project\data\processed\Brunswick_orig_1500ms_V2_(1)\shot_0001_id_1.npz,2582,751,2279,0.8826491092176607
Brunswick_orig_1500ms_V2_(1),train,2,2,C:\Users\HP\OneDrive\Desktop\seismic_project\data\processed\Brunswick_orig_1500ms_V2_(1)\shot_0002_id_2.npz,2582,751,1340,0.5189775367931836
Brunswick_orig_1500ms_V2_(1),train,3,3,C:\Users\HP\OneDrive\Desktop\seismic_project\data\processed\Brunswick_orig_1500ms_V2_(1)\shot_0003_id_3.npz,2582,751,1722,0.6669248644461657
Brunswick_orig_1500ms_V2_(1),train,4,4,C:\Users\HP\OneDrive\Desktop\seismic_project\data\processed\Brunswick_orig_1500ms_V2_(1)\shot_0004_id_4.npz,2582,751,1739,0.6735089078233927
Brunswick_orig_1500ms_V2_(1),train,5,5,C:\Users\HP\OneDrive\Desktop\seismic_project\data\processed\Brunswick_orig_1500ms_V2_(1)\shot_0005_id_5.npz,2582,751,1747,0.6766072811773819
Brunswick_orig_1500ms_V2_(1),train,6,6,C:\Users\HP\OneDrive\Desktop\seismic_project\data\processed\Brunswick_orig_1500ms_V2_(1)\shot_0006_id_6.npz,2582,751,1940,0.7513555383423702
Brunswick_orig_1500ms_V2_(1),train,7,7,C:\Users\HP\OneDrive\Desktop\seismic_project\data\processed\Brunswick_orig_1500ms_V2_(1)\shot_0007_id_7.npz,2582,751,1533,0.5937257939581719
Brunswick_orig_1500ms_V2_(1),train,8,8,C:\Users\HP\OneDrive\Desktop\seismic_project\data\processed\Brunswick_orig_1500ms_V2_(1)\shot_0008_id_8.npz,2582,751,1792,0.6940356312935708
Brunswick_orig_1500ms_V2_(1),train,9,9,C:\Users\HP\OneDrive\Desktop\seismic_project\data\processed\Brunswick_orig_1500ms_V2_(1)\shot_0009_id_9.npz,2582,751,2131,0.8253292021688613
Brunswick_orig_1500ms_V2_(1),train,10,10,C:\Users\HP\OneDrive\Desktop\seismic_project\data\processed\Brunswick_orig_1500ms_V2_(1)\shot_0010_id_10.npz,2582,751,1660,0.6429124709527498
Brunswick_orig_1500ms_V2_(1),train,11,11,C:\Users\HP\OneDrive\Desktop\seismic_project\data\processed\Brunswick_orig_1500ms_V2_(1)\shot_0011_id_11.npz,2582,751,1697,0.6572424477149497
Brunswick_orig_1500ms_V2_(1),train,12,12,C:\Users\HP\OneDrive\Desktop\seismic_project\data\processed\Brunswick_orig_1500ms_V2_(1)\shot_0012_id_12.npz,2582,751,2083,0.8067389620449265
Brunswick_orig_1500ms_V2_(1),train,13,13,C:\Users\HP\OneDrive\Desktop\seismic_project\data\processed\Brunswick_orig_1500ms_V2_(1)\shot_0013_id_13.npz,2582,751,1848,0.715724244771495
Brunswick_orig_1500ms_V2_(1),train,14,14,C:\Users\HP\OneDrive\Desktop\seismic_project\data\processed\Brunswick_orig_1500ms_V2_(1)\shot_0014_id_14.npz,2582,751,1966,0.761425251742835
Brunswick_orig_1500ms_V2_(1),train,15,15,C:\Users\HP\OneDrive\Desktop\seismic_project\data\processed\Brunswick_orig_1500ms_V2_(1)\shot_0015_id_15.npz,2582,751,2023,0.7835011618900077
Brunswick_orig_1500ms_V2_(1),train,16,16,C:\Users\HP\OneDrive\Desktop\seismic_project\data\processed\Brunswick_orig_1500ms_V2_(1)\shot_0016_id_16.npz,2582,751,1854,0.7180480247869868
Brunswick_orig_1500ms_V2_(1),train,17,17,C:\Users\HP\OneDrive\Desktop\seismic_project\data\processed\Brunswick_orig_1500ms_V2_(1)\shot_0017_id_17.npz,2582,751,2078,0.8048024786986832
Brunswick_orig_1500ms_V2_(1),train,18,19,C:\Users\HP\OneDrive\Desktop\seismic_project\data\processed\Brunswick_orig_1500ms_V2_(1)\shot_0018_id_19.npz,2582,751,2272,0.8799380325329202
Brunswick_orig_1500ms_V2_(1),train,19,20,C:\Users\HP\OneDrive\Desktop\seismic_project\data\processed\Brunswick_orig_1500ms_V2_(1)\shot_0019_id_20.npz,2582,751,1594,0.6173508907823393
Brunswick_orig_1500ms_V2_(1),train,20,21,C:\Users\HP\OneDrive\Desktop\seismic_project\data\processed\Brunswick_orig_1500ms_V2_(1)\shot_0020_id_21.npz,2582,751,2171,0.8408210689388071
Brunswick_orig_1500ms_V2_(1),train,21,22,C:\Users\HP\OneDrive\Desktop\seismic_project\data\processed\Brunswick_orig_1500ms_V2_(1)\shot_0021_id_22.npz,2582,751,1941,0.7517428350116189
